username,creator_account,creator_name,image_url,saved_to,ok,error,content
hatomoon_,hatomoon_,はとむぎ,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/94fca5ea534a61c1f8c6540799aa6ff3~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=d1d709dc&x-expires=1769065200&x-signature=%2FYi60DnUQqMEBzXhVRfEsbULn7Y%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/hatomoon_.jpeg,ok,,"様子のおかしいn年目社会人( ᐛ✌︎)
前職で歌う人などなどしてました
2月に👼🏻🍼爆誕するので仮歌のお仕事一旦お休み中…
不定期配信でたらたら喋ってﾏｽ(◍ ´꒳` )"
j.o.l81,j.o.l81,J.O.L,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b9d7f60db435a377d8feb71d619dd4d5~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=d9bc18ed&x-expires=1769065200&x-signature=IvjvU3xtmzy%2FMXY8FyAcQuVsyq0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/j.o.l81.jpeg,ok,,"【J.O.L】🎙️ライバー事務所🎙️
顔出し・Vtuber・ゲーム配信・画像配信・未経験の方大募集🙋
https://lit.link/jolraiba"
korinko26,korinko26,心❤️,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=4da75720&x-expires=1769065200&x-signature=qg7JjPY7B%2BJqavbmVX46zvKLRPs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/korinko26.jpeg,ok,,
rukichi.nty,,,,,err,no_image_found,
l5332541,l5332541,🌸さくら🌸,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7b71c308bb60c061261c86a1c7a7fa7e~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=98323d9b&x-expires=1769065200&x-signature=l%2F63db0vhzkHvxGPi%2B51L2SWHOI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/l5332541.jpeg,ok,,初めまして🔰さくらです🙇‍♀️配信時間朝と夕方たまにゲリラ夜です🤭マイペースで配信してます🥰雑談andバトルです🥰DMは控えさせていただきます🙇‍♀️ 2025 進撃バトル２０位👏
ooo93o,ooo93o,あむら🧋,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d58bf9a007f79f90d982da8b6ac6b10f~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=a43737e9&x-expires=1769065200&x-signature=CzatP7ZBFWmNfnSzId1qcEu4IhA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/ooo93o.jpeg,ok,,"𝑳𝒊𝒗𝒆 𝒂𝒄𝒄𝒐𝒖𝒏𝒕 ❤️‍🔥🎟🎧
夜 23時〜🌙 朝 不定期配信☀️
2児のまま👦🏻👧🏻🤎"
seisuke06,seisuke06,Seisuke(セースケ),https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/413863330f593056716ef03e92a962cd~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=58a9b1c9&x-expires=1769065200&x-signature=IB%2F2lTlbF9ABpY%2B9EsVzOtVXYzI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/seisuke06.jpeg,ok,,"大阪出身/バンドマン/Vo/アンデコレイト

毎週火曜日21時〜定期配信！

毎週月水木ゲリラ雑談配信‼️"
ama13918,ama13918,👻AMA。,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3688a679ea073b124969e0cbd9a6606b~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=65fcb95a&x-expires=1769065200&x-signature=erJSCwAxAsVGYTaZ5d4dcCDBdag%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/ama13918.jpeg,ok,,みんな笑顔で楽しもう🫶
0.821395,,,,,err,no_image_found,
j.uotami.0309,j.uotami.0309,♛じゅん♛🐳💫,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/caa65012a74c814876e4de9a129776eb~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=2468b35b&x-expires=1769065200&x-signature=6BKpSfOb%2BWZ3%2FPW9tPKcZt3S%2Byo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/j.uotami.0309.jpeg,ok,,"岡山 27 雑談配信とかたまにカラオケ配信
彼氏持ちなので夜露死苦
〖JOL所属〗配信時間は、仕事によって変動あり。基本平日の昼間にやります
インスタ→ra_mu.0309"
ceo1014,ceo1014,🦁CEO🦁🎗️,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ed1a1660c7a0f0da162cf285d5632120~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=e79e84c8&x-expires=1769065200&x-signature=VHaL5bKT82WYEHMrdnM18b13aBc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/ceo1014.jpeg,ok,,"ＪＯＬ所属。広島県福山市！シンファ！放デイ2事業所運営してます。配信時間①6:30〜②18:15〜③21:00前後〜定期配信中。日月は不定期です。
⭐️似顔絵描きます！⭐️"
irim4_kun,irim4_kun,いりま,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/da1ff3701d0289415fab484c54b2968a~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=a9780e7f&x-expires=1769065200&x-signature=B4IAe%2FFGBAgl4kAgqRyLQaF5GmM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/irim4_kun.jpeg,ok,,"05/大学生/関東
ぜひフォローしてください!"
mimico121,mimico121,みこ🧸🍓,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7222010ea9004615cfaf4687595e912d~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=bd366f0a&x-expires=1769065200&x-signature=bHT23BFtQmW6zKfvyZCjLtDfTUo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/mimico121.jpeg,ok,,"精神疾患女子の日常🍀💗
J.O.L所属
#精神疾患 #INFJ #AB型 #HSP
ファンマ🧸🍓
他SNSはピン留め動画のリットリンクで！"
miuchan_197,miuchan_197,miumiu🧸💖,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c9c92952f9938c6484e37fcee72a3846~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=2cbb39df&x-expires=1769065200&x-signature=JLZjIHxcrZX0cKiKbr7CJsv3irY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/miuchan_197.jpeg,ok,,
sotinynkiiiii,sotinynkiiiii,おまる,https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/996371bf5fa4719a5f434395c3458eff~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=b7f23dc1&x-expires=1769065200&x-signature=%2FtSjMVjxMn7HRKVSaP7i3FyyxJU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/sotinynkiiiii.jpeg,ok,,
t.o.p_u_jin_,t.o.p_u_jin_,🔆≒ユージン≒🔆,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5cc68d26df51b8de7b7554266401a90a~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=f6c20119&x-expires=1769065200&x-signature=hkXwgqh3o64A93dU3B7%2FukmzALk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/t.o.p_u_jin_.jpeg,ok,,"【J.O.L】 所属　画像・実写配信　山形の人💁‍♂️
雑談×バトル　福山の声マネします🙆‍♂️
【DM返信、してないです】
⏬お得なwebチャージ⏬"
d_low_voice,d_low_voice,アマおじ🎤,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d915b3304939243636a47051fcc57db3~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=ba94b455&x-expires=1769065200&x-signature=wBlixv40iGml%2FZ5PIpZHgj6z82w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/d_low_voice.jpeg,ok,,"Singer〜🎤J.O.L所属
何歳になっても優しい歌声でみなさんに癒しを与えられる歌手になれるように頑張っていきます！"
taka19427,taka19427,🍦taka🍦,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ed718a55410fd0f99c0601758fd652b4~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=f9e76daf&x-expires=1769065200&x-signature=%2FtUGocxsUDwzo2Tk8wW07oltERw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/taka19427.jpeg,ok,,"キム兄・つれぐみ・おぱんちゅ教授・satoshi
のモデしてます🙋

雑談＆プチバトル枠＆ライバー同士のご紹介枠"
s_uuuuta17,s_uuuuta17,だだ,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1fa15f4120b8ccbf280297a2f7f7ef71~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=08811696&x-expires=1769065200&x-signature=rLi4PIUvQrKyl6j67gQT%2FEGxnXg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/s_uuuuta17.jpeg,ok,,服飾学生してた
mayumi.karada.care,mayumi.karada.care,mayumi.karada.care_colorful,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b98244d4741321a0dda44f3a1463aec2~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=2e611133&x-expires=1769065200&x-signature=lvLdEeY2dPOGbg57TpmXkHfaZho%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/mayumi.karada.care.jpeg,ok,,
sa1maru,sa1maru,sa1maru,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d08b94f6ee3d4060067f152d1323a20c~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=4aaee404&x-expires=1769065200&x-signature=S%2BaSE3AI5MSwfXMiuSnUC8%2BygYw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/sa1maru.jpeg,ok,,
fuwahdfbg6j,fuwahdfbg6j,Kaori,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/aab30dbf9615be7d3fc422c72c732ecb~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=9b5456f2&x-expires=1769065200&x-signature=DoeZRVTIZCaRtse4KKJdYgh7H8w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/fuwahdfbg6j.jpeg,ok,,"0〜6才で出来る能力育てのヒントを配信☆いわゆる、非認知能力について配信します☆
子育てしてたら思い通りに行かない毎日！
可愛い♡反面、イライラしたり
何でそうなるの？！(笑)みたいな日々！
感情のジェットコースターに振り回されるリアルと交えて、将来への生き抜く力をどう届けるか、お伝えします♪"
nagomi.kitchen,nagomi.kitchen,ひみ,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/893ffb99f2c6b8bd2af6a1be3d5efef1~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=9ea8ac68&x-expires=1769065200&x-signature=v4j8f76hH%2FBJgAiFQQQWzy57iYs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/nagomi.kitchen.jpeg,ok,,
ryoryoryotaiyo,ryoryoryotaiyo,りょりょ,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c35defa14b16f5631d32e12737d63b8c~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=b61d7f73&x-expires=1769065200&x-signature=uavoOvPW7Zn9gS0lduX%2FUi3rJT8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/ryoryoryotaiyo.jpeg,ok,,
user407922204,user407922204,town,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/42c5b657bf06fcbaefe0d892d6740f06~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=3b9f6cf9&x-expires=1769065200&x-signature=HxxhBmyzaK5ZcLPSZfQv0o3V%2BXY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/user407922204.jpeg,ok,,
genesis07865,,,,,err,no_image_found,
marunori05,marunori05,marunori05,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ef7a8608bc419ef0762a71f39247e987~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=893c9f1b&x-expires=1769065200&x-signature=MvTUY%2B3GZb2eFKP0vuM86xxVcdg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/marunori05.jpeg,ok,,
ayumu1134952,ayumu1134952,ayumu1134952,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=4da75720&x-expires=1769065200&x-signature=qg7JjPY7B%2BJqavbmVX46zvKLRPs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/ayumu1134952.jpeg,ok,,
user5514005492109,user5514005492109,りお,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/180abd04a148691f44e187c905961ba0~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=3c7c6792&x-expires=1769065200&x-signature=E4MNpEd8GnrKybbxliik2Ul7gVo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/user5514005492109.jpeg,ok,,
mimonerunerune,mimonerunerune,mimonerunerune,https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7336217702098272258~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=89d52416&x-expires=1769065200&x-signature=JPdF4IWh6wHh9rFKcGJ22tpJ9Hc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/mimonerunerune.jpeg,ok,,
kuniko.endo,kuniko.endo,☠️くーちゃん☠️,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fdde7567902826d98e38a5debc61fd2f~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=59176747&x-expires=1769065200&x-signature=q%2BUBlRloM4riR%2F6ecemWXK7NgDM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/kuniko.endo.jpeg,ok,,"∴∵∴ ୨୧ ∴∵∴ ୨୧ ∴∵∴ ୨୧ ∴∵∴
宮城から配信してます。普通の主婦。
雑談枠作り中。初見さん募集中🔰
事務所所属(JOL）宜しくお願いします❣️
∴∵∴ ୨୧ ∴∵∴ ୨୧ ∴∵∴ ୨୧ ∴∵∴"
kattyann56,kattyann56,カッチャン(赤兎馬)🐈🤍,https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7c1ee6d16be921bc573b54a3143c6999~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=1a3eb393&x-expires=1769065200&x-signature=E0VFwC6SaOq79JWTTn7cWYDYyyE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/kattyann56.jpeg,ok,,
haaaachan0927,haaaachan0927,はーちゃんママ🌺,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1084223463bdc567196ec16b53c72371~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=482a17e3&x-expires=1769065200&x-signature=krLmqg3qoZO0esMqinJ3tFNfSQ0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/haaaachan0927.jpeg,ok,,"配信🔰9/19～。22時以降！日中はゲリラ🤗
サンリオ＆たまごっち好きの2児のママ🩵🩷

https://www.amazon.jp/hz/wishlist/ls/1AXWYD3DBMWUL?ref_=wl_share"
kawamii12,kawamii12,みぃちゅん💋🪽,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/dd7d5ac8bbf3951fe11d96a3cce57433~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=21c5098d&x-expires=1769065200&x-signature=NeAJILSdMaKu1BDGjWZFS%2Fh7oo8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2,images/kawamii12.jpeg,ok,,二年間ありがとうございました
